ticker,status,row_count,anomaly_count,error,output_file
P10PIB150136,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PIB150136_2021-04-24_to_2026-04-24.csv
P10PIB160135,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PIB160135_2021-04-24_to_2026-04-24.csv
P10PIB170735,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PIB170735_2021-04-24_to_2026-04-24.csv
P10PIB190929,saved,20,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PIB190929_2021-04-24_to_2026-04-24.csv
P10PIB200934,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PIB200934_2021-04-24_to_2026-04-24.csv
P10PIB291226,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PIB291226_2021-04-24_to_2026-04-24.csv
P10PIB301132,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PIB301132_2021-04-24_to_2026-04-24.csv
P10VRR020535,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10VRR020535_2021-04-24_to_2026-04-24.csv
P10VRR070335,saved,1,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10VRR070335_2021-04-24_to_2026-04-24.csv
P10VRR090135,saved,2,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10VRR090135_2021-04-24_to_2026-04-24.csv
P10VRR111235,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10VRR111235_2021-04-24_to_2026-04-24.csv
P10VRR160436,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10VRR160436_2021-04-24_to_2026-04-24.csv
P10VRR180934,saved,20,8,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10VRR180934_2021-04-24_to_2026-04-24.csv
P10VRR211034,saved,20,3,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10VRR211034_2021-04-24_to_2026-04-24.csv
P10VRR220136,saved,4,2,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10VRR220136_2021-04-24_to_2026-04-24.csv
P10VRR300535,saved,7,3,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10VRR300535_2021-04-24_to_2026-04-24.csv
P10VRR300935,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10VRR300935_2021-04-24_to_2026-04-24.csv
P15PIB160435,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P15PIB160435_2021-04-24_to_2026-04-24.csv
P15PIB190640,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P15PIB190640_2021-04-24_to_2026-04-24.csv
P20PIB180831,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P20PIB180831_2021-04-24_to_2026-04-24.csv
P20PIB190939,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P20PIB190939_2021-04-24_to_2026-04-24.csv
